,词频,发音,词性,原型
猛威,3,モウイ,名詞,猛威
話し合い,3,ハナシアイ,動詞,話し合う
慶び,3,ヨロコビ,名詞,慶び
常闇,3,トコヤミ,名詞,常闇
護ら,3,マモラ,動詞,護る
感応,3,カンオウ,名詞,感応
拘り,3,カカワリ,動詞,拘る
洋楽,3,ヨウガク,名詞,洋楽
絶縁,3,ゼツエン,名詞,絶縁
生態,3,セイタイ,名詞,生態
くくり,3,ククリ,動詞,くくる
おわら,3,オワラ,動詞,おわる
こげ,3,コゲ,動詞,こげる
来よ,3,コヨ,動詞,来る
見詰める,3,ミツメル,動詞,見詰める
病状,3,ビョウジョウ,名詞,病状
赤茶け,3,アカチャケ,動詞,赤茶ける
根源,3,コンゲン,名詞,根源
警笛,3,ケイテキ,名詞,警笛
貨物,3,カモツ,名詞,貨物
られん,3,ラレン,動詞,られる
お歌,3,オウタ,名詞,お歌
介在,3,カイザイ,名詞,介在
気が付く,3,キガツク,動詞,気が付く
悪態,3,アクタイ,名詞,悪態
もぉ,3,モォ,感動詞,もぉ
メタモルフォーゼ,3,メタモルフォーゼ,名詞,メタモルフォーゼ
どる,3,ドル,動詞,どる
ピーマン,3,ピーマン,名詞,ピーマン
コタツ,3,コタツ,名詞,コタツ
躓く,3,ツマズク,動詞,躓く
かちん,3,カチン,副詞,かちん
暴露,3,バクロ,名詞,暴露
保持,3,ホジ,名詞,保持
踏み付け,3,フミツケ,動詞,踏み付ける
茫然,3,ボウゼン,名詞,茫然
心外,3,シンガイ,名詞,心外
生者,3,ショウジャ,名詞,生者
追いつめる,3,オイツメル,動詞,追いつめる
どっこい,3,ドッコイ,感動詞,どっこい
おして,3,オシテ,副詞,おして
閃き,3,ヒラメキ,動詞,閃く
高田,3,タカダ,名詞,高田
セール,3,セール,名詞,セール
光栄,3,コウエイ,名詞,光栄
遣り,3,ヤリ,動詞,遣る
直さ,3,ナオサ,動詞,直す
あたふた,3,アタフタ,副詞,あたふた
くどく,3,クドク,形容詞,くどい
革,3,カワ,名詞,革
最良,3,サイリョウ,名詞,最良
ともう,3,トモウ,形容詞,ともい
抱擁,3,ホウヨウ,名詞,抱擁
誘い出し,3,サソイダシ,動詞,誘い出す
申,3,サル,名詞,申
刺さり,3,ササリ,動詞,刺さる
カーマ,3,カーマ,名詞,カーマ
らくらく,3,ラクラク,副詞,らくらく
ぱく,3,パク,動詞,ぱくる
のさ,3,ノサ,動詞,のす
のみ込ん,3,ノミコン,動詞,のみ込む
立ちこめ,3,タチコメ,動詞,立ちこめる
パスタ,3,パスタ,名詞,パスタ
すべら,3,スベラ,動詞,すべる
思いこん,3,オモイコン,動詞,思いこむ
見比べれ,3,ミクラベレ,動詞,見比べる
宮下,3,ミヤシタ,名詞,宮下
せいらん,3,セイラン,名詞,せいらん
薫,3,カオル,名詞,薫
救命,3,キュウメイ,名詞,救命
にくく,3,ニクク,形容詞,にくい
吊るし,3,ツルシ,動詞,吊るす
壮観,3,ソウカン,名詞,壮観
考え事,3,カンガエゴト,名詞,考え事
偲び,3,シノビ,動詞,偲ぶ
漁り火,3,イサリビ,名詞,漁り火
持ち物,3,モチモノ,名詞,持ち物
むごい,3,ムゴイ,形容詞,むごい
そそぐ,3,ソソグ,動詞,そそぐ
ついばむ,3,ツイバム,動詞,ついばむ
鷺,3,サギ,名詞,鷺
戦況,3,センキョウ,名詞,戦況
僥倖,3,ギョウコウ,名詞,僥倖
マグネット,3,マグネット,名詞,マグネット
ガレージ,3,ガレージ,名詞,ガレージ
不規則,3,フキソク,名詞,不規則
燃え広がる,3,モエヒロガル,動詞,燃え広がる
下卑,3,ゲビ,動詞,下卑る
ききかえせ,3,キキカエセ,動詞,ききかえせる
ぜんじ,3,ゼンジ,副詞,ぜんじ
おいらん,3,オイラン,名詞,おいらん
中の島,3,ナカノシマ,名詞,中の島
沸き上がる,3,ワキアガル,動詞,沸き上がる
語り合い,3,カタリアイ,動詞,語り合う
崩す,3,クズス,動詞,崩す
指し示し,3,サシシメシ,動詞,指し示す
思慮,3,シリョ,名詞,思慮
泥臭い,3,ドロクサイ,形容詞,泥臭い
脈打っ,3,ミャクウッ,動詞,脈打つ
甲乙,3,コウオツ,名詞,甲乙
温まる,3,アタタマル,動詞,温まる
引き揚げ,3,ヒキアゲ,動詞,引き揚げる
痛覚,3,ツウカク,名詞,痛覚
雑菌,3,ザッキン,名詞,雑菌
死後,3,シゴ,名詞,死後
他界,3,タカイ,名詞,他界
口論,3,コウロン,名詞,口論
繁華,3,ハンカ,名詞,繁華
リーマン,3,リーマン,名詞,リーマン
退っ引き,3,ノッピキ,名詞,退っ引き
伏し,3,フシ,動詞,伏す
せぐりあげ,3,セグリアゲ,動詞,せぐりあげる
鍵穴,3,カギアナ,名詞,鍵穴
塗装,3,トソウ,名詞,塗装
曇ら,3,クモラ,動詞,曇る
一般人,3,イッパンジン,名詞,一般人
他人事,3,タニンゴト,名詞,他人事
つべこべ,3,ツベコベ,副詞,つべこべ
接い,3,ツイ,動詞,接ぐ
蝙蝠,3,コウモリ,名詞,蝙蝠
篭もり,3,コモリ,動詞,篭もる
隠れ蓑,3,カクレミノ,名詞,隠れ蓑
肥える,3,コエル,動詞,肥える
おどろ,3,オドロ,動詞,おどる
噺,3,ハナシ,名詞,噺
込ま,3,コマ,動詞,込む
考慮,3,コウリョ,名詞,考慮
住宅,3,ジュウタク,名詞,住宅
冷やす,3,ヒヤス,動詞,冷やす
かよわ,3,カヨワ,動詞,かよう
脱税,3,ダツゼイ,名詞,脱税
かたくな,3,カタクナ,名詞,かたくな
激励,3,ゲキレイ,名詞,激励
当初,3,トウショ,名詞,当初
縮小,3,シュクショウ,名詞,縮小
魘され,3,ウナサレ,動詞,魘される
地震,3,ジシン,名詞,地震
さしこむ,3,サシコム,動詞,さしこむ
怨ま,3,ウラマ,動詞,怨む
腫,3,シュ,名詞,腫
目処,3,メド,名詞,目処
中旬,3,チュウジュン,名詞,中旬
暴挙,3,ボウキョ,名詞,暴挙
強度,3,キョウド,名詞,強度
行きつけ,3,イキツケ,名詞,行きつけ
券,3,ケン,名詞,券
シビア,3,シビア,名詞,シビア
封鎖,3,フウサ,名詞,封鎖
楼,3,ロウ,名詞,楼
適切,3,テキセツ,名詞,適切
またぎ,3,マタギ,動詞,またぐ
横転,3,オウテン,名詞,横転
発破,3,ハッパ,名詞,発破
軟弱,3,ナンジャク,名詞,軟弱
犬歯,3,ケンシ,名詞,犬歯
人懐っこい,3,ヒトナツッコイ,形容詞,人懐っこい
土石流,3,ドセキリュウ,名詞,土石流
出汁,3,ダシ,名詞,出汁
いかさま,3,イカサマ,副詞,いかさま
豪雨,3,ゴウウ,名詞,豪雨
めど,3,メド,名詞,めど
インタビュー,3,インタビュー,名詞,インタビュー
はさみ,3,ハサミ,名詞,はさみ
吐き出そ,3,ハキダソ,動詞,吐き出す
上位,3,ジョウイ,名詞,上位
抉れ,3,エグレ,動詞,抉る
面面,3,メンメン,名詞,面面
セシール,3,セシール,名詞,セシール
栗色,3,クリイロ,名詞,栗色
悪銭,3,アクセン,名詞,悪銭
吹けよ,3,フケヨ,動詞,吹ける
葉桜,3,ハザクラ,名詞,葉桜
松山,3,マツヤマ,名詞,松山
面々,3,メンメン,名詞,面々
連戦,3,レンセン,名詞,連戦
以心伝心,3,イシンデンシン,名詞,以心伝心
窺う,3,ウカガウ,動詞,窺う
気性,3,キショウ,名詞,気性
窮地,3,キュウチ,名詞,窮地
細長い,3,ホソナガイ,形容詞,細長い
二番,3,ニバン,名詞,二番
ミセス,3,ミセス,名詞,ミセス
カリン,3,カリン,名詞,カリン
ひゃく,3,ヒャク,名詞,ひゃく
雨後,3,ウゴ,名詞,雨後
みまも,3,ミマモ,動詞,みまもる
見守,3,ミマモ,動詞,見守る
フレックス,3,フレックス,名詞,フレックス
過つ,3,アヤマツ,動詞,過つ
気長,3,キナガ,名詞,気長
ごせ,3,ゴセ,動詞,ごする
洗,3,アライ,名詞,洗
おしかっ,3,オシカッ,形容詞,おしい
冷蔵,3,レイゾウ,名詞,冷蔵
開放,3,カイホウ,名詞,開放
さかのぼ,3,サカノボ,動詞,さかのぼる
遡,3,サカノボ,動詞,遡る
嘯く,3,ウソブク,動詞,嘯く
ひらめい,3,ヒラメイ,動詞,ひらめく
勘ぐり,3,カングリ,動詞,勘ぐる
隊長,3,タイチョウ,名詞,隊長
合同,3,ゴウドウ,名詞,合同
局,3,キョク,名詞,局
道づれ,3,ミチヅレ,名詞,道づれ
雷同,3,ライドウ,名詞,雷同
省略,3,ショウリャク,名詞,省略
見送り,3,ミオクリ,動詞,見送る
総員,3,ソウイン,名詞,総員
瀟洒,3,ショウシャ,名詞,瀟洒
配,3,ハイ,名詞,配
小犬,3,コイヌ,名詞,小犬
前面,3,ゼンメン,名詞,前面
部下,3,ブカ,名詞,部下
有我,3,アリガ,名詞,有我
琢,3,ミガク,名詞,琢
耳飾り,3,ミミカザリ,名詞,耳飾り
お薦め,3,オススメ,名詞,お薦め
新幹線,3,シンカンセン,名詞,新幹線
送り出し,3,オクリダシ,動詞,送り出す
赤裸々,3,セキララ,名詞,赤裸々
補っ,3,オギナッ,動詞,補う
斬ら,3,キラ,動詞,斬る
分断,3,ブンダン,名詞,分断
鳥肌,3,トリハダ,名詞,鳥肌
絵具,3,エノグ,名詞,絵具
阻止,3,ソシ,名詞,阻止
分野,3,ブンヤ,名詞,分野
ビデオ,3,ビデオ,名詞,ビデオ
氷点下,3,ヒョウテンカ,名詞,氷点下
得れ,3,エレ,動詞,得る
エッジ,3,エッジ,名詞,エッジ
むくれ,3,ムクレ,動詞,むくれる
たたま,3,タタマ,動詞,たたむ
ふりかえっ,3,フリカエッ,動詞,ふりかえる
素早く,3,スバヤク,形容詞,素早い
いたって,3,イタッテ,副詞,いたって
推奨,3,スイショウ,名詞,推奨
御座い,3,ゴザイ,動詞,御座る
極光,3,キョッコウ,名詞,極光
十二月,3,ジュウニガツ,名詞,十二月
がんがん,3,ガンガン,副詞,がんがん
バレンタイン,3,バレンタイン,名詞,バレンタイン
撃ち抜け,3,ウチヌケ,動詞,撃ち抜く
まめ,3,マメ,名詞,まめ
べら,3,ベラ,名詞,べら
はみ出せ,3,ハミダセ,動詞,はみ出す
ブリッジ,3,ブリッジ,名詞,ブリッジ
滞っ,3,トドコオッ,動詞,滞る
きっちり,3,キッチリ,副詞,きっちり
隠れよ,3,カクレヨ,動詞,隠れる
招き,3,マネキ,名詞,招き
やけど,3,ヤケド,名詞,やけど
余興,3,ヨキョウ,名詞,余興
ねら,3,ネラ,動詞,ねる
けぶ,3,ケブ,形容詞,けぶい
お札,3,オサツ,名詞,お札
載り,3,ノリ,動詞,載る
ワックス,3,ワックス,名詞,ワックス
ベトベト,3,ベトベト,副詞,ベトベト
浴びれ,3,アビレ,動詞,浴びる
田舎町,3,イナカマチ,名詞,田舎町
振舞,3,フルマイ,名詞,振舞
率直,3,ソッチョク,名詞,率直
かんかん,3,カンカン,副詞,かんかん
下そ,3,クダソ,動詞,下す
とぎれ,3,トギレ,動詞,とぎれる
透きとおる,3,スキトオル,動詞,透きとおる
哲,3,アキラ,名詞,哲
身振り,3,ミブリ,名詞,身振り
グイグイ,3,グイグイ,副詞,グイグイ
いつわ,3,イツワ,動詞,いつわる
ジキル,3,ジキル,名詞,ジキル
バベル,3,バベル,名詞,バベル
斬新,3,ザンシン,名詞,斬新
挑め,3,ノゾメ,動詞,挑める
堅実,3,ケンジツ,名詞,堅実
三昧,3,サンマイ,名詞,三昧
渾身,3,コンシン,名詞,渾身
拡がれ,3,ヒロガレ,動詞,拡がる
ライヴ,3,ライヴ,名詞,ライヴ
サラン,3,サラン,名詞,サラン
いかける,3,イカケル,動詞,いかける
易い,3,ヤスイ,形容詞,易い
トピック,3,トピック,名詞,トピック
いけれ,3,イケレ,動詞,いける
吸い殻,3,スイガラ,名詞,吸い殻
離そ,3,ハナソ,動詞,離す
のこる,3,ノコル,動詞,のこる
ねがっ,3,ネガッ,動詞,ねがう
検証,3,ケンショウ,名詞,検証
立てれ,3,タテレ,動詞,立てる
緒,3,イトグチ,名詞,緒
前のめり,3,マエノメリ,名詞,前のめり
ハネムーン,3,ハネムーン,名詞,ハネムーン
エンスト,3,エンスト,名詞,エンスト
挟み込ん,3,ハサミコン,動詞,挟み込む
寒かっ,3,サムカッ,形容詞,寒い
生き返ら,3,イキカエラ,動詞,生き返る
踏み鳴らし,3,フミナラシ,動詞,踏み鳴らす
人造,3,ジンゾウ,名詞,人造
カフェラテ,3,カフェラテ,名詞,カフェラテ
ハジメ,3,ハジメ,名詞,ハジメ
審議,3,シンギ,名詞,審議
逆手,3,サカテ,名詞,逆手
組み合う,3,クミアウ,動詞,組み合う
顧み,3,カエリミ,動詞,顧みる
草いきれ,3,クサイキレ,名詞,草いきれ
ミチ,3,ミチ,名詞,ミチ
課し,3,カシ,動詞,課す
練り歩け,3,ネリアルケ,動詞,練り歩く
吉田,3,ヨシダ,名詞,吉田
宮野,3,ミヤノ,名詞,宮野
横縞,3,ヨコジマ,名詞,横縞
切らさ,3,キラサ,動詞,切らす
縊死,3,イシ,名詞,縊死
女児,3,ジョジ,名詞,女児
返せよ,3,カエセヨ,動詞,返せる
こさえ,3,コサエ,動詞,こさえる
物言わ,3,モノユワ,動詞,物言う
さこ,3,サコ,動詞,さく
モラトリアム,3,モラトリアム,名詞,モラトリアム
空き地,3,アキチ,名詞,空き地
沸き立つ,3,ワキタツ,動詞,沸き立つ
域,3,イキ,名詞,域
まいり,3,マイリ,動詞,まいる
わらび,3,ワラビ,名詞,わらび
干からび,3,ヒカラビ,動詞,干からびる
修行,3,シュギョウ,名詞,修行
ギガ,3,ギガ,名詞,ギガ
ちくちく,3,チクチク,副詞,ちくちく
直線,3,チョクセン,名詞,直線
月明,3,ゲツメイ,名詞,月明
せんぼう,3,センボウ,名詞,せんぼう
叢,3,クサムラ,名詞,叢
よどん,3,ヨドン,動詞,よどむ
年嵩,3,トシカサ,名詞,年嵩
閃い,3,ヒラメイ,動詞,閃く
狂おし,3,クルオシ,形容詞,狂おしい
乾坤一擲,3,ケンコンイッテキ,名詞,乾坤一擲
しのば,3,シノバ,動詞,しのぶ
文書,3,ブンショ,名詞,文書
語り継ぐ,3,カタリツグ,動詞,語り継ぐ
チョウ,3,チョウ,名詞,チョウ
ミカ,3,ミカ,名詞,ミカ
天津飯,3,テンシンハン,名詞,天津飯
京,3,キョウ,名詞,京
誤審,3,ゴシン,名詞,誤審
ソース,3,ソース,名詞,ソース
前触れ,3,マエブレ,名詞,前触れ
翻す,3,ヒルガエス,動詞,翻す
テキスト,3,テキスト,名詞,テキスト
歯痒,3,ハガユ,形容詞,歯痒い
機動,3,キドウ,名詞,機動
晶,3,アキラ,名詞,晶
読み込み,3,ヨミコミ,動詞,読み込む
郷愁,3,キョウシュウ,名詞,郷愁
コンサート,3,コンサート,名詞,コンサート
作り出せる,3,ツクリダセル,動詞,作り出せる
布石,3,フセキ,名詞,布石
衆人,3,シュウジン,名詞,衆人
済,3,スミ,名詞,済
天津,3,テンシン,名詞,天津
立つ瀬,3,タツセ,名詞,立つ瀬
護身,3,ゴシン,名詞,護身
かがり,3,カガリ,動詞,かがる
こか,3,コカ,動詞,こく
たずねる,3,タズネル,動詞,たずねる
憧れよ,3,アコガレヨ,動詞,憧れる
実証,3,ジッショウ,名詞,実証
モダン,3,モダン,名詞,モダン
甘ったるく,3,アマッタルク,形容詞,甘ったるい
ボディー,3,ボディー,名詞,ボディー
ヒモ,3,ヒモ,名詞,ヒモ
吊ら,3,ツラ,動詞,吊る
いえいえ,3,イエイエ,感動詞,いえいえ
御代,3,ミヨ,名詞,御代
集会,3,シュウカイ,名詞,集会
手拭い,3,テヌグイ,名詞,手拭い
洗い髪,3,アライガミ,名詞,洗い髪
東洋,3,トウヨウ,名詞,東洋
クレパス,3,クレパス,名詞,クレパス
耐え難き,3,タエガタキ,形容詞,耐え難い
あやつり,3,アヤツリ,動詞,あやつる
ヒゲ,3,ヒゲ,名詞,ヒゲ
ゆずり,3,ユズリ,動詞,ゆずる
明大,3,メイダイ,名詞,明大
初舞台,3,ハツブタイ,名詞,初舞台
真綿,3,マワタ,名詞,真綿
起こら,3,オコラ,動詞,起こる
いのこ,3,イノコ,名詞,いのこ
銀杏,3,イチョウ,名詞,銀杏
うかべる,3,ウカベル,動詞,うかべる
続けりゃ,3,ツヅケリャ,動詞,続ける
気にいら,3,キニイラ,動詞,気にいる
ひらきなおる,3,ヒラキナオル,動詞,ひらきなおる
滑り込ま,3,スベリコマ,動詞,滑り込む
ちやほや,3,チヤホヤ,副詞,ちやほや
色欲,3,シキヨク,名詞,色欲
空々,3,クウクウ,名詞,空々
酔い潰れ,3,ヨイツブレ,動詞,酔い潰れる
運河,3,ウンガ,名詞,運河
落花,3,ラッカ,名詞,落花
爆撃,3,バクゲキ,名詞,爆撃
腹筋,3,フッキン,名詞,腹筋
ハー,3,ハー,名詞,ハー
驚かし,3,オドロカシ,動詞,驚かす
千紫万紅,3,センシバンコウ,名詞,千紫万紅
奮え,3,フルエ,動詞,奮う
弁論,3,ベンロン,名詞,弁論
琉球,3,リュウキュウ,名詞,琉球
徳,3,トク,名詞,徳
血縁,3,ケツエン,名詞,血縁
嘲っ,3,アザケッ,動詞,嘲る
受容,3,ジュヨウ,名詞,受容
しぼん,3,シボン,動詞,しぼむ
アイロン,3,アイロン,名詞,アイロン
提言,3,テイゲン,名詞,提言
うけ,3,ウケ,動詞,うける
ローカル,3,ローカル,名詞,ローカル
正反対,3,セイハンタイ,名詞,正反対
腹切り,3,ハラキリ,名詞,腹切り
片腹痛い,3,カタハライタイ,形容詞,片腹痛い
合わそ,3,アワソ,動詞,合わす
堪能,3,タンノウ,名詞,堪能
袴,3,ハカマ,名詞,袴
どんぐり,3,ドングリ,名詞,どんぐり
みだら,3,ミダラ,名詞,みだら
激流,3,ゲキリュウ,名詞,激流
機器,3,キキ,名詞,機器
見おろす,3,ミオロス,動詞,見おろす
悩ましく,3,ナヤマシク,形容詞,悩ましい
概要,3,ガイヨウ,名詞,概要
尻子玉,3,シリコダマ,名詞,尻子玉
伴い,3,トモナイ,動詞,伴う
弾頭,3,ダントウ,名詞,弾頭
アーム,3,アーム,名詞,アーム
埠頭,3,フトウ,名詞,埠頭
明菜,3,アキナ,名詞,明菜
ジャガー,3,ジャガー,名詞,ジャガー
ミック,3,ミック,名詞,ミック
ふさが,3,フサガ,動詞,ふさぐ
分け与え,3,ワケアタエ,動詞,分け与える
盟友,3,メイユウ,名詞,盟友
あやかし,3,アヤカシ,名詞,あやかし
追い付い,3,オイツイ,動詞,追い付く
堪る,3,タマル,動詞,堪る
ヒューマニズム,3,ヒューマニズム,名詞,ヒューマニズム
無心,3,ムシン,名詞,無心
嘲笑い,3,アザワライ,動詞,嘲笑う
噛み殺し,3,カミコロシ,動詞,噛み殺す
スタンダード,3,スタンダード,名詞,スタンダード
はから,3,ハカラ,動詞,はかる
巣立っ,3,スダッ,動詞,巣立つ
介錯,3,カイシャク,名詞,介錯
先立つ,3,サキダツ,動詞,先立つ
ストリッパー,3,ストリッパー,名詞,ストリッパー
下向き,3,シタムキ,名詞,下向き
単なる,3,タンナル,連体詞,単なる
つぎ込ん,3,ツギコン,動詞,つぎ込む
繰りかえし,3,クリカエシ,動詞,繰りかえす
大きかっ,3,オオキカッ,形容詞,大きい
正月,3,ショウガツ,名詞,正月
年がら年中,3,ネンガラネンジュウ,名詞,年がら年中
あきらめよ,3,アキラメヨ,動詞,あきらめる
どの道,3,ドノミチ,副詞,どの道
てんてこ舞い,3,テンテコマイ,名詞,てんてこ舞い
食べれ,3,タベレ,動詞,食べる
満腹,3,マンプク,名詞,満腹
ロミオ,3,ロミオ,名詞,ロミオ
チー,3,チー,名詞,チー
噛みつか,3,カミツカ,動詞,噛みつく
必至,3,ヒッシ,名詞,必至
舞い込ん,3,マイコン,動詞,舞い込む
望郷,3,ボウキョウ,名詞,望郷
キャッ,3,キャッ,感動詞,キャッ
誇,3,ホコ,動詞,誇る
あおう,3,アオウ,形容詞,あおい
賑,3,ニギワイ,名詞,賑
脛,3,ハギ,名詞,脛
召さ,3,メサ,動詞,召す
淋しかっ,3,サビシカッ,形容詞,淋しい
一過,3,イッカ,名詞,一過
ああなり,3,アアナリ,動詞,ああなる
制し,3,セイシ,動詞,制す
暗澹,3,アンタン,名詞,暗澹
鬼火,3,オニビ,名詞,鬼火
鎮火,3,チンカ,名詞,鎮火
世迷い言,3,ヨマイゴト,名詞,世迷い言
旅客機,3,リョカクキ,名詞,旅客機
章魚,3,タコ,名詞,章魚
舌鼓,3,シタツヅミ,名詞,舌鼓
騒がしゃ,3,サワガシャ,動詞,騒がす
まとわりつい,3,マトワリツイ,動詞,まとわりつく
選りすぐり,3,エリスグリ,動詞,選りすぐる
投げ出せ,3,ナゲダセ,動詞,投げ出す
啼き,3,ナキ,動詞,啼く
ボーダーレス,3,ボーダーレス,名詞,ボーダーレス
うかがっ,3,ウカガッ,動詞,うかがう
性能,3,セイノウ,名詞,性能
終始,3,シュウシ,副詞,終始
出直す,3,デナオス,動詞,出直す
勝ち残れ,3,カチノコレ,動詞,勝ち残る
率先,3,ソッセン,名詞,率先
しばれ,3,シバレ,動詞,しばれる
ふきかけ,3,フキカケ,動詞,ふきかける
とば,3,トバ,動詞,とぶ
恐らく,3,オソラク,副詞,恐らく
からむ,3,カラム,動詞,からむ
リビング,3,リビング,名詞,リビング
鼠色,3,ネズミイロ,名詞,鼠色
拒み,3,コバミ,動詞,拒む
男泣き,3,オトコナキ,名詞,男泣き
人家,3,ジンカ,名詞,人家
強敵,3,キョウテキ,名詞,強敵
しの,3,シノ,名詞,しの
うるむ,3,ウルム,動詞,うるむ
分かろ,3,ワカロ,動詞,分かる
はじまら,3,ハジマラ,動詞,はじまる
プレパラート,3,プレパラート,名詞,プレパラート
挟む,3,ハサム,動詞,挟む
隔てる,3,ヘダテル,動詞,隔てる
連行,3,レンコウ,名詞,連行
乗っ取っ,3,ノットッ,動詞,乗っ取る
アクティブ,3,アクティブ,名詞,アクティブ
長屋,3,ナガヤ,名詞,長屋
弔う,3,トムラウ,動詞,弔う
送り火,3,オクリビ,名詞,送り火
いずみ,3,イズミ,名詞,いずみ
バルト,3,バルト,名詞,バルト
となみ,3,トナミ,名詞,となみ
うかがう,3,ウカガウ,動詞,うかがう
転じ,3,テンジ,動詞,転じる
見つけ出そ,3,ミツケダソ,動詞,見つけ出す
獰猛,3,ドウモウ,名詞,獰猛
抱え込む,3,カカエコム,動詞,抱え込む
悩まし,3,ナヤマシ,動詞,悩ます
丸見え,3,マルミエ,名詞,丸見え
くずせ,3,クズセ,動詞,くずせる
馬面,3,ウマヅラ,名詞,馬面
たらし込ん,3,タラシコン,動詞,たらし込む
食い物,3,クイモノ,名詞,食い物
こわせ,3,コワセ,動詞,こわせる
道義,3,ドウギ,名詞,道義
ひろげよ,3,ヒロゲヨ,動詞,ひろげる
しゅく,3,シュク,名詞,しゅく
通達,3,ツウタツ,名詞,通達
むくわ,3,ムクワ,動詞,むくう
齧れ,3,カジレ,動詞,齧る
虐める,3,イジメル,動詞,虐める
死し,3,シシ,動詞,死す
しんきろう,3,シンキロウ,名詞,しんきろう
絡み合い,3,カラミアイ,動詞,絡み合う
北埼玉,3,キタサイタマ,名詞,北埼玉
ガミガミ,3,ガミガミ,副詞,ガミガミ
ひっさげ,3,ヒッサゲ,動詞,ひっさげる
マンション,3,マンション,名詞,マンション
熱愛,3,ネツアイ,名詞,熱愛
倣う,3,ナラウ,動詞,倣う
リーク,3,リーク,名詞,リーク
帷,3,トバリ,名詞,帷
番手,3,バンテ,名詞,番手
開けろ,3,アケロ,動詞,開ける
博打,3,バクチ,名詞,博打
露骨,3,ロコツ,名詞,露骨
ハッピ,3,ハッピ,名詞,ハッピ
聞き捨て,3,キキズテ,動詞,聞き捨てる
怪異,3,カイイ,名詞,怪異
結え,3,ユエ,動詞,結う
妖怪変化,3,ヨウカイヘンゲ,名詞,妖怪変化
ひかっ,3,ヒカッ,動詞,ひかる
騒ぎだせ,3,サワギダセ,動詞,騒ぎだす
手形,3,テガタ,名詞,手形
曽根崎,3,ソネザキ,名詞,曽根崎
埋れ,3,ウモレ,動詞,埋れる
遮り,3,サエギリ,動詞,遮る
騒がし,3,サワガシ,形容詞,騒がしい
きゃ,3,キャ,動詞,く
成り代わり,3,ナリカワリ,動詞,成り代わる
ひる,3,ヒル,動詞,ひる
みなぎ,3,ミナギ,動詞,みなぎる
精いっぱい,3,セイイッパイ,副詞,精いっぱい
私語,3,シゴ,名詞,私語
心魂,3,シンコン,名詞,心魂
井上,3,イノウエ,名詞,井上
ちょうちょ,3,チョウチョ,名詞,ちょうちょ
内部,3,ナイブ,名詞,内部
選り取り,3,ヨリドリ,名詞,選り取り
琴線,3,キンセン,名詞,琴線
路肩,3,ロカタ,名詞,路肩
洗お,3,アラオ,動詞,洗う
澄み,3,スミ,動詞,澄む
川瀬,3,カワセ,名詞,川瀬
膨れる,3,フクレル,動詞,膨れる
なすっ,3,ナスッ,動詞,なする
転寝,3,ウタタネ,名詞,転寝
撮ら,3,トラ,動詞,撮る
アガっ,3,アガッ,動詞,アガる
陶酔,3,トウスイ,名詞,陶酔
すそ,3,スソ,名詞,すそ
何かしら,3,ナニカシラ,名詞,何かしら
職人,3,ショクニン,名詞,職人
愚かしく,3,オロカシク,形容詞,愚かしい
発動,3,ハツドウ,名詞,発動
煙っ,3,ケムッ,動詞,煙る
掴めれ,3,ツカメレ,動詞,掴める
鉄槌,3,テッツイ,名詞,鉄槌
だんだんに,3,ダンダンニ,副詞,だんだんに
垣間見,3,カイマミ,動詞,垣間見る
難点,3,ナンテン,名詞,難点
鉱石,3,コウセキ,名詞,鉱石
なおせ,3,ナオセ,動詞,なおせる
片付ける,3,カタヅケル,動詞,片付ける
ドーン,3,ドーン,副詞,ドーン
出現,3,シュツゲン,名詞,出現
転倒,3,テントウ,名詞,転倒
和風,3,ワフウ,名詞,和風
生温く,3,ナマヌルク,形容詞,生温い
豪快,3,ゴウカイ,名詞,豪快
うっちゃれ,3,ウッチャレ,動詞,うっちゃる
同じく,3,オナジク,副詞,同じく
ひかれ,3,ヒカレ,動詞,ひかれる
いお,3,イオ,動詞,いう
とかさ,3,トカサ,動詞,とかす
暗証,3,アンショウ,名詞,暗証
懇願,3,コンガン,名詞,懇願
ナン,3,ナン,名詞,ナン
生け贄,3,イケニエ,名詞,生け贄
停留,3,テイリュウ,名詞,停留
おみやげ,3,オミヤゲ,名詞,おみやげ
芸能,3,ゲイノウ,名詞,芸能
はしゃげ,3,ハシャゲ,動詞,はしゃぐ
月島,3,ツキシマ,名詞,月島
愛惜,3,アイセキ,名詞,愛惜
くびれ,3,クビレ,動詞,くびれる
疎ま,3,ウトマ,動詞,疎む
あしからず,3,アシカラズ,副詞,あしからず
コント,3,コント,名詞,コント
啜りゃ,3,ススリャ,動詞,啜る
五反田,3,ゴタンダ,名詞,五反田
売り上げ,3,ウリアゲ,動詞,売り上げる
品位,3,ヒンイ,名詞,品位
吸血,3,キュウケツ,名詞,吸血
弁護士,3,ベンゴシ,名詞,弁護士
凹凸,3,オウトツ,名詞,凹凸
オス,3,オス,名詞,オス
監修,3,カンシュウ,名詞,監修
廃退,3,ハイタイ,名詞,廃退
江,3,コウ,名詞,江
乗り上げ,3,ノリアゲ,動詞,乗り上げる
言わす,3,イワス,動詞,言わす
ゲル,3,ゲル,名詞,ゲル
ふり向け,3,フリムケ,動詞,ふり向く
すくい上げ,3,スクイアゲ,動詞,すくい上げる
止し,3,ヨシ,動詞,止す
疚し,3,ヤマシ,形容詞,疚しい
薄幸,3,ハッコウ,名詞,薄幸
